320.00,28.00,2.00,26.00,3.00,9.25,1.00,1.00,0.00,58.00,28.00,23.00,30.00
1724.00,124.00,9.00,115.00,3.00,10.75,11.00,7.00,1.00,30.00,11.27,84.00,196.00
246.00,17.00,0.00,17.00,3.00,10.29,1.00,1.00,0.00,43.00,17.00,17.00,26.00
356.00,23.00,1.00,22.00,3.00,11.57,3.00,2.00,1.00,40.00,7.67,22.00,43.00
484.00,42.00,1.00,41.00,5.00,9.00,3.00,2.00,0.00,25.00,14.00,32.00,47.00
943.00,73.00,8.00,65.00,3.00,10.26,1.00,1.00,0.00,176.00,73.00,60.00,103.00
560.00,63.00,1.00,62.00,3.00,6.87,6.00,3.00,2.00,7.00,10.50,52.00,50.00
269.00,33.00,2.00,31.00,2.00,6.64,1.00,1.00,0.00,49.00,33.00,29.00,16.00
232.00,20.00,0.00,20.00,2.00,9.10,1.00,1.00,0.00,48.00,20.00,12.00,28.00
1384.00,105.00,7.00,98.00,3.00,10.01,1.00,1.00,0.00,256.00,105.00,77.00,151.00
664.00,58.00,1.00,57.00,3.00,8.88,4.00,2.00,1.00,17.00,14.50,47.00,75.00
491.00,51.00,4.00,47.00,1.00,7.47,5.00,2.00,2.00,2.00,10.20,46.00,42.00
84.00,9.00,0.00,9.00,6.00,7.44,1.00,0.00,0.00,17.00,9.00,6.00,8.00
665.00,59.00,4.00,55.00,2.00,8.64,10.00,1.00,4.00,5.00,5.90,47.00,67.00
1159.00,89.00,5.00,84.00,5.00,10.11,4.00,3.00,0.00,40.00,22.25,66.00,115.00
